,nasdaq_t100,short_term_rates,long_term_rates,dollar_index,vix_index,Laid_Off_Count
2020-07-27,6178.72021484375,0.11,0.62,93.66999816894531,24.739999771118164,494.0
2020-07-28,6087.27978515625,0.11,0.59,93.76000213623047,25.440000534057617,180.0
2020-07-29,6202.31982421875,0.11,0.58,93.26000213623047,24.100000381469727,69.0
2020-07-30,6271.72998046875,0.09,0.55,93.0199966430664,24.760000228881836,4562.0
2020-07-31,6300.77001953125,0.09,0.55,93.48999786376953,24.459999084472656,0.0
2020-08-03,6379.60009765625,0.10,0.56,93.5,24.280000686645508,0.0
2020-08-04,6434.509765625,0.09,0.52,93.37999725341797,23.760000228881836,0.0
2020-08-05,6424.56982421875,0.10,0.55,92.83000183105469,22.989999771118164,56.0
2020-08-06,6415.14990234375,0.10,0.55,92.79000091552734,22.649999618530273,75.0
2020-08-07,6330.83984375,0.10,0.57,93.44000244140625,22.209999084472656,179.0
2020-08-10,6310.43994140625,0.11,0.59,93.58000183105469,22.1299991607666,20.0
2020-08-11,6224.2998046875,0.11,0.64,93.62999725341797,24.030000686645508,250.0
2020-08-12,6360.4599609375,0.11,0.69,93.44000244140625,22.280000686645508,69.0
2020-08-13,6332.93994140625,0.10,0.71,93.33999633789062,22.1299991607666,0.0
2020-08-14,6304.56982421875,0.10,0.71,93.0999984741211,22.049999237060547,150.0
2020-08-17,6372.02978515625,0.10,0.69,92.8499984741211,21.350000381469727,69.0
2020-08-18,6384.52001953125,0.09,0.67,92.2699966430664,21.510000228881836,30.0
2020-08-19,6358.490234375,0.11,0.68,92.88999938964844,22.540000915527344,37.0
2020-08-20,6400.1298828125,0.11,0.65,92.79000091552734,22.719999313354492,50.0
2020-08-21,6408.7099609375,0.10,0.64,93.25,22.540000915527344,0.0
2020-08-24,6458.27001953125,0.12,0.65,93.30000305175781,22.3700008392334,130.0
2020-08-25,6515.60986328125,0.11,0.69,93.0199966430664,22.030000686645508,0.0
2020-08-26,6611.02978515625,0.11,0.69,93.01000213623047,23.270000457763672,1100.0
2020-08-27,6557.0400390625,0.11,0.74,93.01000213623047,24.469999313354492,0.0
2020-08-28,6658.1201171875,0.10,0.74,92.37000274658203,22.959999084472656,0.0
2020-08-31,6651.2998046875,0.11,0.72,92.13999938964844,26.40999984741211,350.0
2020-09-01,6781.6298828125,0.12,0.68,92.33999633789062,26.1200008392334,272.0
2020-09-02,6915.1201171875,0.12,0.66,92.8499984741211,26.56999969482422,230.0
2020-09-03,6543.56005859375,0.11,0.63,92.73999786376953,33.599998474121094,0.0
2020-09-04,6435.31005859375,0.11,0.72,92.72000122070312,30.75,0.0
2020-09-08,6150.72021484375,0.13,0.69,93.4800033569336,31.459999084472656,46.0
2020-09-09,6294.83984375,0.12,0.71,93.26000213623047,28.809999465942383,30.0
2020-09-10,6191.419921875,0.12,0.68,93.33999633789062,29.709999084472656,0.0
2020-09-11,6172.08984375,0.11,0.67,93.33000183105469,26.8700008392334,290.0
2020-09-14,6285.9599609375,0.11,0.68,93.06999969482422,25.850000381469727,0.0
2020-09-15,6363.080078125,0.11,0.68,93.05000305175781,25.59000015258789,0.0
2020-09-16,6291.72021484375,0.12,0.69,93.20999908447266,26.040000915527344,30.0
2020-09-17,6241.330078125,0.09,0.69,92.97000122070312,26.459999084472656,0.0
2020-09-18,6158.56005859375,0.10,0.70,92.93000030517578,25.829999923706055,0.0
2020-09-21,6163.56005859375,0.10,0.68,93.54000091552734,27.780000686645508,0.0
2020-09-22,6258.8701171875,0.10,0.68,93.98999786376953,26.860000610351562,0.0
2020-09-23,6119.77978515625,0.11,0.68,94.38999938964844,28.579999923706055,170.0
2020-09-24,6146.81982421875,0.10,0.67,94.3499984741211,28.510000228881836,0.0
2020-09-25,6267.169921875,0.10,0.66,94.58000183105469,26.3799991607666,100.0
2020-09-28,6395.2900390625,0.11,0.67,94.26000213623047,26.190000534057617,0.0
2020-09-29,6394.7998046875,0.09,0.66,93.88999938964844,26.270000457763672,93.0
2020-09-30,6401.72998046875,0.10,0.69,93.88999938964844,26.3700008392334,0.0
2020-10-01,6513.259765625,0.09,0.68,93.70999908447266,26.700000762939453,0.0
2020-10-02,6341.7998046875,0.09,0.70,93.83999633789062,27.6299991607666,0.0
2020-10-05,6491.0498046875,0.10,0.78,93.51000213623047,27.959999084472656,0.0
2020-10-06,6419.60009765625,0.10,0.76,93.83000183105469,29.479999542236328,0.0
2020-10-07,6545.5,0.10,0.81,93.62999725341797,28.059999465942383,0.0
2020-10-08,6604.0,0.09,0.78,93.61000061035156,26.360000610351562,100.0
2020-10-09,6709.669921875,0.10,0.79,93.05999755859375,25.0,0.0
2020-10-12,6850.18994140625,.,.,93.06999969482422,25.06999969482422,250.0
2020-10-13,6843.4599609375,0.11,0.74,93.52999877929688,26.06999969482422,0.0
2020-10-14,6817.7900390625,0.12,0.73,93.37999725341797,26.399999618530273,90.0
2020-10-15,6785.68994140625,0.11,0.74,93.86000061035156,26.969999313354492,0.0
2020-10-16,6772.080078125,0.11,0.76,93.68000030517578,27.40999984741211,0.0
2020-10-19,6687.580078125,0.11,0.78,93.43000030517578,29.18000030517578,0.0
2020-10-20,6697.7001953125,0.10,0.81,93.06999969482422,29.350000381469727,200.0
2020-10-21,6680.4501953125,0.10,0.83,92.61000061035156,28.649999618530273,100.0
2020-10-22,6652.919921875,0.09,0.87,92.94999694824219,28.110000610351562,0.0
2020-10-23,6659.52978515625,0.10,0.85,92.7699966430664,27.549999237060547,8.0
2020-10-26,6524.52001953125,0.11,0.81,93.05000305175781,32.459999084472656,46.0
2020-10-27,6531.35986328125,0.10,0.79,92.94000244140625,33.349998474121094,0.0
2020-10-28,6307.990234375,0.10,0.79,93.41000366210938,40.279998779296875,0.0
2020-10-29,6437.22021484375,0.09,0.85,93.95999908447266,37.59000015258789,102.0
2020-10-30,6320.77001953125,0.09,0.88,94.04000091552734,38.02000045776367,0.0
2020-11-02,6346.759765625,0.09,0.87,94.05000305175781,37.130001068115234,99.0
2020-11-03,6473.669921875,0.10,0.90,93.55000305175781,35.54999923706055,0.0
2020-11-04,6740.2001953125,0.10,0.78,93.41000366210938,29.56999969482422,0.0
2020-11-05,6945.64013671875,0.10,0.79,92.52999877929688,27.579999923706055,30.0
2020-11-06,6996.93994140625,0.10,0.83,92.2300033569336,24.860000610351562,0.0
2020-11-09,6901.9599609375,0.11,0.96,92.7300033569336,25.75,30.0
2020-11-10,6714.77978515625,0.10,0.98,92.75,24.799999237060547,0.0
2020-11-11,6894.6298828125,.,.,93.04000091552734,23.450000762939453,0.0
2020-11-12,6830.06005859375,0.10,0.88,92.95999908447266,25.350000381469727,0.0
2020-11-13,6915.64013671875,0.09,0.89,92.76000213623047,23.100000381469727,0.0
2020-11-16,6995.14990234375,0.09,0.91,92.56999969482422,22.450000762939453,0.0
2020-11-17,6958.3798828125,0.09,0.87,92.41999816894531,22.709999084472656,272.0
2020-11-18,6881.2998046875,0.09,0.88,92.31999969482422,23.84000015258789,46.0
2020-11-19,6977.14013671875,0.07,0.86,92.29000091552734,23.110000610351562,5.0
2020-11-20,6927.580078125,0.07,0.83,92.38999938964844,23.700000762939453,0.0
2020-11-23,6961.81005859375,0.08,0.86,92.51000213623047,22.65999984741211,0.0
2020-11-24,7028.8798828125,0.09,0.88,92.2300033569336,21.639999389648438,0.0
2020-11-25,7034.0498046875,0.09,0.88,91.98999786376953,21.25,50.0
2020-11-27,7122.22021484375,0.09,0.84,91.79000091552734,20.84000015258789,0.0
2020-11-30,7170.509765625,0.08,0.84,91.87000274658203,20.56999969482422,0.0
2020-12-01,7254.330078125,0.09,0.92,91.30999755859375,20.770000457763672,0.0
2020-12-02,7274.1298828125,0.09,0.95,91.12000274658203,21.170000076293945,0.0
2020-12-03,7251.8701171875,0.08,0.92,90.70999908447266,21.280000686645508,0.0
2020-12-04,7394.85009765625,0.09,0.97,90.69999694824219,20.790000915527344,0.0
2020-12-07,7411.35009765625,0.08,0.94,90.79000091552734,21.299999237060547,0.0
2020-12-08,7443.58984375,0.09,0.92,90.97000122070312,20.68000030517578,600.0
2020-12-09,7271.35009765625,0.08,0.95,91.08999633789062,22.270000457763672,0.0
2020-12-10,7275.830078125,0.08,0.92,90.79000091552734,22.520000457763672,0.0
